"关键词词组","ABA总计 点击份额","ABA总计 转化份额","关键词销量","Magnet IQ得分","搜索量","搜索量趋势","H10 PPC 建议出价","H10 PPC 建议最低出价","H10 PPC 建议最高出价","广告推广ASIN 数","竞品数","CPR","自然","标题密度","Smart Complete","亚马逊推荐"
"candle warmer lamp for large jar candles",,,1,274,274,256,,,,164,">1,000",8,1,1,1,0
"candle warmer lamp boho",38.5,25,1,657,354,21,,,,322,539,8,1,0,1,1
"lámpara para velas de olor",34.4,100,1,946,402,2,0.95,0.76,1.19,308,425,8,1,0,0,0
"cupcakes and cashmere home decor",35.4,,1,"2,728",412,-19,0.71,0.54,0.82,245,151,8,1,0,0,0
"candle warmer lamp cute",27.8,,1,538,351,-8,,,,335,653,8,1,0,1,0
"gift for house warming new home",,,1,26,256,0,1.21,1.05,1.45,300,">10,000",8,1,0,0,0
"candle warme",27.3,12.5,1,15,436,20,0.93,0.61,1.21,282,">30,000",8,1,0,0,1
"brass candle warmer lamp",32.1,40,1,464,274,78,,,,169,590,8,1,0,1,0
"wireless candle warmer lamp",30.4,,1,700,426,3,1.05,0.69,1.34,350,609,8,1,0,1,1
"dark academia desk decor",22.5,100,1,"1,060",372,14,,,,342,351,8,1,0,0,0
"fairy core decor",24.4,,1,761,405,-15,0.56,0.43,0.74,332,">532",8,1,0,0,0
"cottage core lamp",22.9,,1,"1,090",423,-5,0.73,0.54,0.91,391,388,8,1,0,0,1
"lamps aesthetic",,,1,55,328,-3,0.73,0.56,0.89,322,">6,000",8,1,0,0,0
"grandmillennial decor",23.3,,1,436,436,-15,0.66,0.47,0.77,303,">1,000",8,0,2,0,1
"lamp wax melt warmer",,,1,328,328,112,,,,217,">1,000",8,1,0,0,1
"flameless candle warmer lamp",,,1,367,367,71,0.93,0.7,1.1,312,">1,000",8,1,3,1,1
"academia decor",19.3,25,1,383,765,21,0.7,0.45,0.9,446,">2,000",11,0,8,0,1
"candle heaters for indoor use",42.5,27.3,1,461,408,-8,0.78,0.71,1.03,306,">885",8,1,0,0,0
"candle warming lamp with timer",26.7,,1,359,351,"3,126",0.98,0.68,1.29,279,">977",8,1,0,1,1
"lámpara calentador de velas",27.3,20,1,370,370,1,,,,327,">1,000",8,1,0,0,1
"y2k lamp",46.9,,1,"1,346",420,-13,0.99,0.71,1.04,293,312,8,1,0,0,0
"croquette aesthetic room decor",20,50,1,"4,231",567,16,0.88,0.72,1.08,192,134,9,1,0,0,0
"organic modern home decor",17.9,8,1,265,"1,591",-24,0.63,0.51,0.84,989,">6,000",26,0,1,0,1
"cottagecore lamp",28.7,,1,866,439,-4,0.71,0.56,0.93,381,">507",8,1,0,0,0
"marble candle warmer lamp",40,,1,636,344,84,,,,306,">541",8,0,1,1,1
"cottagecore bedroom decor",17.1,,1,212,423,-13,0.62,0.42,0.85,300,">2,000",8,1,0,0,0
"fragrance warmer lamps",28.6,,1,295,295,176,,,,219,">1,000",8,1,0,0,1
"vintage decor aesthetic",18.3,,1,10,380,-3,0.7,0.52,0.84,368,">40,000",8,1,0,0,0
"vintage room decor aesthetic",22.2,,1,27,821,-19,0.68,0.49,0.87,524,">30,000",11,0,0,0,1
"home warming gift",,,1,4,213,14,,,,385,">50,000",8,1,0,0,0
"gift for birthday woman",32.4,,1,3,335,-23,1.46,1.01,1.89,399,">100,000",8,1,0,0,0
"香薰灯",,,1,"5,950",238,0,,,,43,40,8,1,0,0,0
"mini kitchen lamp",22.9,,1,617,416,-20,0.71,0.5,0.99,339,">674",8,0,0,0,1
"candle warmer vintage",,,1,401,250,86,,,,241,">624",8,1,0,0,1
"candle warmer usb",,,1,467,268,132,,,,161,">574",8,0,0,0,1
"smart candle warmer",35.9,20,1,365,365,20,,,,227,">1,000",8,1,6,0,0
"quemador de velas electrico",,,1,677,376,20,,,,348,555,8,1,0,0,1
"fun home gifts",,,1,34,241,448,,,,169,">7,000",8,1,0,0,0
"birthday women gifts",24.1,11.1,1,2,216,-4,,,,349,">100,000",8,1,0,0,0
"aesthetic lamps",18,50,1,58,581,-20,0.94,0.74,1.19,421,">10,000",9,1,2,0,0
"gift ideas for in laws",,,1,2,216,"n/a",,,,111,">100,000",8,1,0,0,0
"lamp for candle",22.7,20,1,404,404,-2,0.94,0.79,1.34,367,">1,000",8,1,0,1,0
"candle stick lamp",35.9,,1,336,336,-12,,,,337,">1,000",8,0,0,1,0
"wax wamer",19.2,50,1,69,274,-5,1.06,0.8,1.35,176,">4,000",8,1,0,0,0
"candal warmer",,,1,8,225,-7,,,,337,">30,000",8,1,0,0,1
"candle warmer lights",,,1,256,256,17,,,,323,">1,000",8,1,1,0,0
"lamps for candles",,,1,265,265,97,,,,221,">1,000",8,1,0,1,0
"lampara de vela",,,1,340,340,45,,,,288,">1,000",8,1,0,0,1
"wooden candle warmer",,,1,348,348,17,,,,178,">1,000",8,0,2,0,1
"regalos para la casa",,,1,22,216,84,,,,213,">10,000",8,1,0,0,0
"gifts for them",,,1,4,376,72,1.24,0.96,1.57,451,">100,000",8,1,0,0,0
"electric candle warmers",26.7,16.7,1,189,378,0,,,,328,">2,000",8,1,0,0,0
"portable candle warmer",,,1,302,259,"n/a",,,,147,">857",8,1,0,0,1
"room decor gifts",,,1,3,268,33,,,,286,">100,000",8,1,0,0,0
"wax melting lamp",21.8,50,1,428,428,-1,0.74,0.53,0.85,283,">1,000",8,1,0,0,1
"candle warmed",42.9,33.3,1,11,324,8,,,,217,">30,000",8,1,0,0,1
"western candle warmer",,,1,351,259,-6,,,,310,">737",8,1,0,0,1
"gifts for birthday woman",25.5,14.3,1,3,328,-13,1.33,0.97,1.78,420,">100,000",8,1,0,0,0
"lamp with candle",,,1,228,228,188,,,,158,">1,000",8,1,0,1,1
"office candle warmer",,,1,134,268,"n/a",,,,134,">2,000",8,1,0,0,1
"retro candle warmer",35.1,33.3,1,809,389,10,,,,244,481,8,1,0,0,1
"vintage wax warmer",38.5,,1,423,375,-2,,,,313,">886",8,1,0,0,0
"lamp for candles",27.6,,1,333,333,11,,,,396,">1,000",8,1,0,1,0
"unique wax warmer",21.8,25,1,197,394,-3,0.62,0.44,0.76,387,">2,000",8,1,0,0,0
"candle lava lamp",,,1,"1,843",341,32,0.69,0.59,0.8,332,185,8,0,0,1,1
"funky house decor",15,,1,78,389,-1,0.59,0.4,0.63,368,">5,000",8,1,0,0,0
"law office decor",23.4,,1,76,380,0,0.8,0.58,0.99,309,">5,000",8,0,5,0,1
"mens candle warmer",,,1,320,320,87,,,,168,">1,000",8,1,0,0,0
"farmhouse candle warmer",17.1,,1,421,415,9,0.79,0.52,1.04,340,">985",8,1,3,0,1
"candle warmer wood",31,33.3,1,457,392,5,,,,246,">857",8,1,0,0,1
"candle warmer wireless",31.4,50,1,511,423,-2,,,,361,828,8,1,0,0,1
"candle warmer with light",26.9,,1,37,372,20,,,,301,">10,000",8,1,0,0,1
"house decor gift",,,1,3,253,"n/a",,,,80,">100,000",8,1,1,0,0
"gifts for bedroom",,,1,3,280,"1,344",,,,208,">100,000",8,1,0,0,0
"decorative candle warmer",22.6,100,1,330,330,16,,,,393,">1,000",8,1,1,0,1
"expensive christmas gifts",,,1,43,216,-9,,,,417,">5,000",8,1,0,0,0
"candle dome",35.9,,1,356,247,-26,,,,286,">694",8,0,1,0,1
"vintage home",17.9,,1,8,764,3,0.86,0.66,1.11,362,">100,000",11,1,4,0,0
"lamp aesthetic",20.8,,1,70,698,-10,0.8,0.62,0.94,316,">10,000",10,1,1,0,0
"wax melt warmer lamp",18.2,50,1,396,396,14,0.97,0.68,1.2,327,">1,000",8,1,1,0,1
"apartment warming gifts",16.2,16.7,1,69,274,22,1.16,0.83,1.44,308,">4,000",8,1,0,0,0
"neutral decor",15.7,7.7,1,19,765,-16,0.62,0.43,0.9,469,">40,000",11,1,0,0,1
"cadle warmer",,,1,8,238,"1,938",,,,121,">30,000",8,1,0,0,1
"trending gifts for her",,,1,124,247,951,,,,103,">2,000",8,1,0,0,0
"cozy home",21,,1,12,"1,232",-8,0.62,0.44,0.77,935,">100,000",27,1,5,0,0
"kitschy decor",22.7,33.3,1,832,380,13,0.54,0.39,0.68,407,457,8,1,0,0,0
"decorative objects",9.9,22.7,1,76,764,2,0.79,0.58,0.98,201,">10,000",11,0,3,0,1
"trending home decor",16.1,20,1,104,519,8,0.93,0.7,1.09,403,">5,000",9,1,0,0,0
"milk glass lamp",23.5,,1,389,389,-17,0.66,0.47,0.97,272,">1,000",8,1,1,0,0
"apartment decor men",,,1,27,265,-15,,,,345,">10,000",8,0,0,0,1
"lamp candle burner",,,1,432,277,74,,,,123,">641",8,1,0,1,1
"wax warmer with light",29.5,16.7,1,415,415,-7,0.73,0.53,0.85,336,">1,000",8,1,0,0,0
"candle warmer modern",23.5,20,1,441,423,5,0.84,0.58,1.19,370,">959",8,1,0,0,1
"candle warmer glass",,,1,250,250,147,,,,225,">1,000",8,1,0,0,1
"top rated gifts for women",18.2,16.7,1,11,426,105,1.47,1.1,1.91,353,">40,000",8,1,0,0,0
"glass wax melt warmer",,,1,333,228,488,,,,91,">684",8,0,2,0,1
"girly home decor",15.8,25,1,107,644,7,0.66,0.51,0.89,405,">6,000",10,1,1,0,0
"whimsical home decor",12.9,,1,17,516,-3,0.71,0.53,0.9,484,">30,000",9,1,2,0,0
"glam home decor",15.7,33.3,1,36,359,10,0.47,0.36,0.75,242,">10,000",8,0,0,0,1
"wax lamp warmer",24.5,40,1,418,418,11,1.05,0.76,1.38,249,">1,000",8,1,0,0,1
"vintage retro decor",,,1,3,289,1,,,,234,">100,000",8,1,0,0,0
"cottage bedroom decor",20.6,,1,32,324,83,,,,103,">10,000",8,1,0,0,0
"vintage small lamp",27.5,50,1,58,348,-5,,,,287,">6,000",8,1,0,0,0
"shabby chic lamp",24.7,,1,"1,046",413,-10,0.85,0.53,0.96,350,395,8,1,0,0,0
"swan lamp",25.6,,1,"1,174",365,-11,0.67,0.56,0.78,231,">311",8,1,2,0,0
"meaning full gifts",,,1,25,250,735,,,,174,">10,000",8,1,0,0,0
"stone lamp",27.9,28.6,1,"1,706","1,232",-8,0.69,0.5,1.01,714,">722",27,0,5,0,1
"host gifts for women",,,1,113,340,-3,1.17,0.91,1.51,329,">3,000",8,1,0,0,0
"gifts for women home decor",,,1,1,235,203,,,,180,">200,000",8,1,1,0,0
"gifts for women home",,,1,3,268,730,,,,224,">100,000",8,1,0,0,0
"battery powered candle warmer",34,,1,815,698,-20,0.86,0.64,1.19,358,">856",10,1,0,0,1
"candle melter warmer",,,1,136,271,-7,,,,394,">2,000",8,0,0,0,1
"birthday present for women",20,28.6,1,2,244,-3,1.55,1.09,2.2,348,">100,000",8,1,0,0,0
"large jar candle warmer",25,,1,349,349,62,,,,281,">1,000",8,1,3,0,1
"elegant home decor",13.9,,1,6,644,10,0.65,0.49,0.81,358,">100,000",10,1,2,0,0
"top womens gifts",,,1,4,352,27,1.34,1.01,1.82,360,">100,000",8,1,0,0,0
"candles light",,,1,13,259,-17,,,,376,">20,000",8,1,0,0,0
"spa bathroom accessories",21.4,100,1,40,400,-12,0.84,0.58,1.01,342,">10,000",8,0,0,0,1
"lamp vintage",21.9,,1,32,645,-25,0.86,0.57,1.09,406,">20,000",10,1,3,0,0
"fairy light lamp",38.6,25,1,86,429,0,0.87,0.63,1.03,319,">5,000",8,0,0,0,1
"aroma lamp",26.9,,1,324,324,106,,,,314,">1,000",8,1,2,0,0
"led candle warmer",,,1,321,265,"n/a",,,,108,">825",8,1,1,0,1
"candle jar warmer",30,57.2,1,330,330,21,,,,369,">1,000",8,0,3,0,1
"candle decor",10.3,6.7,1,15,"1,162",3,0.92,0.63,1.29,827,">80,000",26,1,0,0,0
"home decor black",13.2,50,1,4,359,-10,0.56,0.42,0.74,413,">100,000",8,1,0,0,0
"best housewarming gifts for new home",,,1,6,259,2,,,,339,">40,000",8,1,0,0,0
"aromatherapy lamp",43.5,,1,439,439,35,0.98,0.73,1.42,325,">1,000",8,1,1,0,1
"home decor vintage",16.3,,1,4,424,2,0.95,0.68,1.16,302,">100,000",8,1,0,0,1
"home decor gold",20,,1,4,375,15,0.67,0.54,0.84,382,">100,000",8,1,0,0,0
"mom gifts for birthday",21.8,7.7,1,6,581,9,1.44,1.1,1.87,341,">100,000",9,1,0,0,0
"top women gifts",,,1,3,265,59,,,,259,">100,000",8,1,0,0,0
"birthday gifts for woman",37.5,30.8,1,2,317,-18,1.57,1.04,1.95,339,">200,000",8,1,0,0,0
"birthday gift mom",17.6,,1,4,375,-8,1.48,1.16,1.92,318,">100,000",8,1,0,0,0
